sample_id,batch_id,log10_mn,pdi,class_code,tg_degC
P-042,B040,4.705231,1.71,5,29.445981
P-043,B040,4.811798,1.987,5,101.533113
P-044,B040,4.526244,1.793,2,73.688571
P-045,B040,4.823869,1.748,5,28.195419
P-046,B040,4.982439,1.674,5,-71.868171
P-047,B040,5.046156,1.656,5,27.514837
P-048,B040,5.045296,1.538,0,106.532723
P-049,B040,4.532251,2.133,5,95.275273
P-050,B040,4.32552,1.555,1,140.179452
P-051,B040,4.988654,1.731,0,102.749813
P-052,B040,4.430903,1.691,2,72.375509
P-053,B040,4.568404,2.327,0,6.219382
P-054,B040,4.439737,2.35,4,-126.416943
P-055,B040,4.748657,2.383,0,6.376024
P-056,B040,5.167798,1.816,5,80.670497
P-057,B040,5.152018,1.604,5,100.627916
P-058,B040,5.010254,1.58,3,-19.279263
P-059,B040,5.258451,1.839,5,102.425386
P-060,B040,4.93517,2.091,5,81.787689
P-061,B040,4.364932,1.743,1,139.206002
P-062,B040,4.91533,2.125,5,-71.524939
P-063,B040,4.953871,2.373,3,-19.319988
P-064,B040,4.816632,1.599,4,-123.263913
P-065,B040,5.262486,1.755,5,-69.81614
P-066,B040,4.561576,2.123,2,75.808
P-067,B040,5.248197,2.183,0,103.71951
P-068,B040,4.535166,2.364,2,75.725471
P-069,B040,5.380226,1.937,5,-71.069486
P-070,B040,4.483711,1.586,2,72.916531
P-071,B040,5.059004,2.14,5,99.001381
P-072,B040,5.271223,2.261,3,-18.424813
P-073,B040,5.234115,1.931,5,100.463835
P-074,B040,5.030815,2.083,5,79.86095
P-075,B040,5.18648,1.762,5,99.369335
P-076,B040,5.286571,2.205,3,-16.789187
P-077,B040,4.513071,2.211,3,-19.797278
P-078,B040,4.654646,1.918,5,97.143472
P-079,B040,4.639648,2.38,2,78.583334
P-080,B040,4.836023,2.003,5,80.445587
P-081,B040,5.149841,2.313,3,-18.376005
P-082,B040,5.267821,1.592,5,98.513798
P-083,B040,5.072431,2.151,5,101.619726
P-084,B040,4.557514,1.743,4,-127.607938
P-085,B040,4.770697,1.766,0,103.390513
P-086,B040,4.615682,1.55,2,76.522496
P-087,B040,5.281749,1.811,5,97.612207
P-088,B040,5.167129,2.353,5,-69.421472
P-089,B040,5.106188,2.115,5,81.775764
P-090,B040,4.299675,2.164,4,-125.736287
P-091,B041,4.635073,2.392,4,-128.101437
P-092,B041,4.997149,2.214,0,7.756675
P-093,B041,4.720608,2.271,0,104.497438
P-094,B041,4.817747,1.566,4,-126.35505
P-095,B041,4.61506,2.394,5,29.700892
P-096,B041,4.978583,1.502,5,30.009476
P-097,B041,5.051758,2.134,0,104.366605
P-098,B041,5.442208,1.616,5,-70.733801
P-099,B041,5.305657,2.277,5,-69.512286
P-100,B041,4.885518,1.845,5,81.15749
P-101,B041,5.086152,1.629,5,99.015104
P-102,B041,4.717422,2.351,0,8.819696
P-103,B041,4.10077,2.383,2,70.899862
P-104,B041,4.723457,2.103,1,142.830954
P-105,B041,5.019336,1.818,0,8.231799
P-106,B041,4.849474,2.129,4,-125.508975
P-107,B041,4.531116,2.242,2,77.483123
P-108,B041,4.732386,1.869,1,145.533479
P-109,B041,4.858073,2.222,0,102.907502
P-110,B041,4.241561,2.219,1,140.1816
P-111,B041,4.240429,2.379,1,135.330249
P-112,B041,4.672441,1.538,1,143.694691
P-113,B041,4.689215,1.827,4,-126.395738
P-114,B041,5.148767,1.964,3,-18.448893
P-115,B041,4.496739,1.536,4,-125.281659
P-116,B041,5.064484,1.633,5,80.182132
P-117,B041,5.190727,1.583,5,101.127961
P-118,B041,5.123113,1.815,3,-17.314079
P-119,B041,4.585522,1.993,4,-125.889814
P-120,B041,4.788821,1.889,0,101.448818
P-121,B041,5.048062,2.119,5,30.680395
P-122,B041,4.719809,1.858,5,-73.014058
P-123,B041,4.679726,1.885,2,74.157859
P-124,B041,4.327171,1.969,0,5.297429
P-125,B041,4.984807,2.041,5,-71.088137
P-126,B041,4.78448,2.091,0,10.31511
P-127,B041,5.081088,2.325,3,-20.902686
P-128,B041,5.266438,1.833,3,-16.743995
P-129,B041,4.715033,2.373,3,-19.802146
P-130,B041,5.066371,1.813,5,-69.350588
P-131,B041,5.239026,1.57,5,-70.83735
P-132,B041,5.021885,1.699,5,82.062648
P-133,B041,4.72997,2.2,1,143.680936
P-134,B041,5.007407,1.822,3,-20.613417
P-135,B041,5.321345,2.276,5,-72.502811
P-136,B041,4.325241,1.6,2,72.367463
P-137,B041,5.245246,1.534,3,-18.401349
P-138,B041,5.133168,2.01,3,-16.453379
P-139,B041,4.783048,1.842,5,79.040953
P-140,B041,5.47644,1.965,5,-70.60069
P-141,B041,4.95289,1.79,5,28.550055
P-142,B041,4.952619,2.084,0,5.956801
P-143,B041,4.811631,2.345,4,-128.787798
P-144,B041,4.623012,1.965,5,81.792257
P-145,B041,4.032417,1.933,2,70.590848
P-146,B041,5.168854,1.621,5,-71.050294
P-147,B041,4.564063,1.513,1,141.832237
P-148,B041,5.435063,2.252,5,-69.633453
P-149,B041,4.799426,2.195,5,31.584509
P-150,B041,4.338106,2.255,4,-127.287875
P-151,B041,4.901819,2.27,0,8.709897
P-152,B041,4.997184,2.304,5,-70.766599
P-153,B041,4.853247,2.19,5,28.039539
P-154,B041,5.159223,2.21,0,103.727414
P-155,B041,5.059999,1.891,5,78.479407
P-156,B041,4.657584,1.624,5,26.716723
P-157,B041,5.117383,1.527,0,104.865495
P-158,B041,5.095729,1.591,5,97.834827
P-159,B041,4.928529,1.66,5,98.301239
P-160,B041,4.859998,1.746,4,-125.174148
P-161,B041,4.72374,1.53,5,28.287717
P-162,B041,4.279341,1.998,2,70.959806
P-163,B041,5.252568,2.101,5,100.495253
P-164,B041,4.767918,2.246,5,30.322149
P-165,B041,5.124943,1.893,5,-69.655839
P-166,B041,4.781153,1.519,3,-20.417669
P-167,B041,4.412758,2.334,4,-126.8555
P-168,B041,4.159724,1.547,2,70.078199
P-169,B041,4.928063,1.861,5,30.169342
P-170,B041,5.017511,1.659,5,99.612635
P-171,B041,4.62716,1.743,5,30.727136
P-172,B041,4.96027,1.571,5,29.172381
P-173,B041,4.476539,1.572,1,143.580756
P-174,B041,5.000859,2.219,5,29.649208
P-175,B041,4.739525,2.213,4,-126.619328
P-176,B041,4.840761,1.713,0,8.489328
P-177,B041,5.201876,2.187,0,106.859081
P-178,B041,4.919026,2.206,5,30.290496
P-179,B041,4.706422,2.389,5,-68.556871
P-180,B041,4.751342,2.005,1,146.800992
P-181,B042,4.327394,1.672,0,280.085516
P-182,B042,5.463898,2.041,5,203.098794
P-183,B042,4.618223,2.05,2,349.522012
P-184,B042,4.738944,1.516,1,144.213433
P-185,B042,4.664185,2.014,5,356.170256
P-186,B042,4.317186,2.288,1,138.171815
P-187,B042,5.290929,1.885,5,101.448608
P-188,B042,5.062619,2.079,5,353.487651
P-189,B042,4.917886,2.275,3,254.585483
P-190,B042,4.540744,1.672,2,349.522843
P-191,B042,4.500658,2.183,0,372.083586
P-192,B042,5.057877,2.155,0,283.333152
P-193,B042,4.987401,2.291,5,299.922016
P-194,B042,5.207566,1.633,3,253.979136
P-195,B042,5.095707,2.257,5,353.175077
P-196,B042,4.900948,1.83,4,146.029907
P-197,B042,5.245269,2.24,5,201.239779
P-198,B042,4.494915,2.321,5,302.099454
P-199,B042,4.844167,1.827,5,200.012098
P-200,B042,5.010702,1.841,5,302.222508
P-201,B042,4.516727,1.778,5,368.902448
P-202,B042,5.22319,2.333,3,253.538375
P-203,B042,5.476417,2.251,5,204.109494
P-204,B042,4.93138,1.965,4,416.72078
P-205,B042,5.104308,2.221,5,357.166209
P-206,B042,4.432195,1.584,2,348.227319
P-207,B042,4.594007,2.369,0,102.847163
P-208,B042,5.267393,2.339,5,201.467565
P-209,B042,4.632494,1.502,4,144.449351
P-210,B042,4.634389,2.305,5,301.380316
P-211,B042,4.705626,1.98,4,145.058986
P-212,B042,5.106762,1.796,5,356.697436
P-213,B042,4.626309,2.238,1,145.798682
P-214,B042,4.690661,1.894,1,144.292358
P-215,B042,5.204549,1.71,3,256.796644
P-216,B042,5.328372,1.705,5,201.140521
P-217,B042,4.940376,1.647,0,284.983285
P-218,B042,4.885699,2.251,0,281.675891
P-219,B042,5.185007,1.976,5,201.77785
P-220,B042,5.040224,1.557,5,99.021311
P-221,B042,4.901168,1.981,4,147.808528
P-222,B042,4.411626,2.181,0,280.030444
P-223,B042,5.149963,1.626,0,101.851019
P-224,B042,4.602501,2.258,2,351.561397
P-225,B042,4.647598,1.94,1,142.208199
P-226,B042,4.947922,2.374,5,302.18288
P-227,B042,4.490672,1.505,5,369.913886
P-228,B042,4.963901,1.712,5,204.109789
P-229,B042,5.151596,1.595,3,255.747468
P-230,B042,5.13654,2.3,5,99.802206
P-231,B042,4.682728,1.756,2,347.858215
P-232,B042,5.092444,1.72,5,357.189252
P-233,B042,4.435959,1.936,1,143.144908
P-234,B042,4.812619,1.923,5,351.147317
P-235,B042,5.095552,2.158,5,99.914967
P-236,B042,4.617471,1.607,2,347.88832
P-237,B042,5.227325,1.947,0,107.337286
P-238,B042,4.102125,1.656,2,344.3561
P-239,B042,4.930759,2.037,5,203.847651
P-240,B042,5.274987,1.81,3,254.766399
P-241,B042,5.072053,2.334,5,99.183694
P-242,B042,5.061225,2.274,3,254.516096
P-243,B042,4.480507,2.258,1,143.88426
P-244,B042,5.011204,1.544,5,300.511141
P-245,B042,4.828613,1.6,5,203.850121
P-246,B042,4.844493,2.198,5,352.60736
P-247,B042,4.836085,2.146,4,145.663148
P-248,B042,4.974229,1.893,4,147.724372
P-249,B042,5.046259,1.872,5,303.712532
P-250,B042,4.322151,2.166,5,297.070033
P-251,B042,5.200615,1.726,5,202.097702
P-252,B042,4.901173,1.72,3,254.352872
P-253,B042,5.128499,1.598,5,99.302617
P-254,B042,5.090757,1.827,0,102.948094
P-255,B042,4.365643,2.281,2,345.800138
P-256,B042,4.694905,2.368,2,349.562746
P-257,B042,4.630715,1.648,0,281.385212
P-258,B042,5.272035,2.169,5,203.782364
P-259,B042,4.600335,2.314,4,146.749148
P-260,B042,4.564322,1.661,2,349.539275
P-261,B042,5.003418,1.902,5,201.829678
P-262,B042,4.631152,1.995,2,349.892615
P-263,B042,4.552302,2.015,5,300.266584
P-264,B042,5.097132,2.026,0,103.211964
P-265,B042,4.503492,2.136,0,282.313231
P-266,B042,5.032479,1.853,5,302.846693
P-267,B042,4.850508,1.975,5,301.408461
P-268,B042,5.414333,2.396,5,201.359796
P-269,B042,4.63103,1.532,5,298.165761
P-270,B042,5.148627,2.056,5,354.957084
P-271,B042,4.629721,1.968,4,145.762217
P-272,B042,5.127143,1.816,5,371.41616
P-273,B042,5.46462,2.051,5,207.375016
P-274,B042,4.924162,2.327,0,279.973535
P-275,B042,4.536056,1.798,2,348.223567
P-276,B042,5.359073,1.546,5,204.280642
P-277,B042,5.15467,2.323,5,99.055397
P-278,B042,4.740474,1.55,5,201.451641
P-279,B042,4.668386,1.786,5,355.65635
P-280,B042,4.369325,1.631,0,281.391735
P-281,B042,5.056565,1.738,0,284.904747
P-282,B042,5.010792,1.992,0,283.169741
P-283,B042,5.132947,1.58,5,353.455709
P-284,B042,5.094187,2.259,5,357.521234
P-285,B042,4.591295,1.785,1,145.145567
P-286,B042,5.42848,1.695,5,198.714414
P-287,B042,5.371166,1.767,5,204.752332
P-288,B042,4.646515,1.915,2,347.084872
P-289,B042,4.660873,1.641,5,351.956342
P-290,B042,4.836973,1.563,4,144.651564
P-291,B042,4.953991,1.524,0,103.681967
P-292,B042,5.38127,1.948,5,203.877356
P-293,B042,4.957379,1.741,4,146.356552
P-294,B042,5.215391,1.942,3,253.491598
P-295,B042,5.240639,1.75,5,101.314374
P-296,B042,5.385423,1.876,5,203.351371
P-297,B042,4.698359,1.568,2,347.82537
P-298,B042,4.850122,2.057,5,352.428464
P-299,B042,4.537888,2.025,2,348.687262
P-300,B042,5.218909,2.354,5,202.60889
P-301,B042,4.963085,2.27,4,144.971652
P-302,B042,4.508154,2.2,1,141.966302
P-303,B042,4.575969,2.361,1,146.152208
P-304,B042,5.36279,1.551,5,203.109741
P-305,B042,4.584331,2.006,5,302.78885
P-306,B042,4.403014,1.982,2,348.597775
P-307,B042,5.186528,1.599,5,202.098422
P-308,B042,4.723777,1.699,0,105.887884
P-309,B042,5.039088,1.553,5,355.1863
P-310,B042,4.870226,2.316,5,302.510974
P-311,B042,4.536345,2.043,2,345.908296
P-312,B042,4.613038,1.614,2,347.790166
P-313,B042,5.038959,2.171,3,253.991028
P-314,B042,4.839746,1.972,4,145.180388
P-315,B042,5.044832,1.987,0,281.934659
P-316,B042,5.002802,2.013,0,283.322923
P-317,B042,5.040828,2.244,5,203.438468
P-318,B042,4.876132,1.963,5,352.571241
P-319,B042,4.53849,1.971,1,144.516141
P-320,B042,4.775458,2.267,4,145.965245
P-321,B042,4.856705,2.117,0,280.236324
P-322,B042,4.591102,2.252,5,102.36351
P-323,B042,5.15333,1.541,5,352.616484
P-324,B042,4.784318,2.237,4,149.410587
P-325,B042,4.196005,1.933,1,139.016673
P-326,B042,4.320692,2.044,5,301.277741
P-327,B042,4.66861,2.089,2,349.737464
P-328,B042,4.696955,2.256,5,353.326373
P-329,B042,4.800398,2.168,5,303.167322
P-330,B042,4.841921,1.605,3,256.775857
P-331,B042,4.770466,1.901,1,145.761706
P-332,B042,5.251063,2.202,0,104.260052
P-333,B042,5.166645,2.371,0,102.450655
P-334,B042,4.951588,1.523,5,353.820807
P-335,B042,5.099108,1.699,5,202.592031
P-336,B042,4.983707,1.804,5,354.597631
P-337,B042,4.205572,1.531,2,345.586654
P-338,B042,4.679145,2.297,2,348.46405
P-339,B042,4.800139,2.143,5,299.922482
P-340,B042,4.588813,1.549,4,148.012693
P-341,B042,4.956216,1.544,5,355.032746
P-342,B042,4.974045,2.086,0,284.029625
P-343,B042,4.192079,1.874,2,345.826983
P-344,B042,4.969173,1.954,5,355.312753
P-345,B042,4.839441,2.122,5,303.190317
P-346,B042,5.027109,1.51,5,300.913806
P-347,B042,5.329207,2.274,5,199.653539
P-348,B042,5.297322,2.343,5,101.441968
P-349,B042,4.339229,1.608,0,103.004366
P-350,B042,4.029128,2.13,2,345.771514
P-351,B042,4.086459,1.846,4,143.24335
P-352,B042,4.967074,1.78,0,283.40584
P-353,B042,4.760613,2.035,5,370.26771
P-354,B042,5.037851,2.181,5,353.385577
P-355,B042,4.887011,1.729,0,281.248648
P-356,B042,4.939341,2.374,5,355.676089
P-357,B042,4.736222,2.213,4,146.124118
P-358,B042,5.438714,2.003,5,205.0323
P-359,B042,4.526471,2.287,1,144.498933
P-360,B042,4.739796,2.044,3,250.864491
P-361,B042,4.76588,1.877,1,145.945857
P-362,B042,5.183524,2.037,0,104.05656
P-363,B042,4.897321,2.296,0,281.770349
P-364,B042,4.552351,1.769,2,351.099033
P-365,B042,5.186559,1.934,5,370.592921
P-366,B042,5.074349,1.943,0,102.974397
P-367,B042,4.518844,2.005,0,279.745398
P-368,B042,4.803614,1.656,0,102.756538
P-369,B042,4.478695,2.158,2,347.064551
P-370,B042,5.079902,1.783,3,258.079374
P-371,B042,4.85696,2.27,0,285.463928
P-372,B042,4.371519,2.247,2,345.734446
P-373,B042,4.78852,2.276,0,104.674726
P-374,B042,4.818792,2.244,5,200.536408
P-375,B042,4.727962,2.016,3,254.10609
P-376,B042,5.238026,1.693,3,254.018916
P-377,B042,4.389241,2.325,0,277.662227
P-378,B042,4.897611,2.039,5,303.028689
P-379,B042,4.771911,1.771,5,201.68652
P-380,B042,5.102822,1.845,5,370.531808
P-381,B042,5.07278,1.606,0,103.83179
P-382,B042,5.267767,1.613,5,201.398609
P-383,B042,4.594197,2.297,1,142.556515
P-384,B042,5.251489,1.845,5,203.149565
P-385,B042,4.73233,2.265,5,370.889253
P-386,B042,4.384081,1.695,4,145.879064
P-387,B042,4.929875,1.817,5,202.150324
P-388,B042,4.753388,1.562,5,100.58374
P-389,B042,4.547215,1.763,5,353.163463
P-390,B042,5.155134,1.984,5,202.084094
P-391,B042,5.306052,1.945,5,202.664752
P-392,B042,4.777604,2.261,5,300.840591
P-393,B042,5.055345,2.348,3,255.497588
P-394,B042,4.774521,1.584,1,141.355527
P-395,B042,4.691803,2.022,2,348.890659
P-396,B042,4.994746,2.183,5,299.351647
P-397,B042,4.746928,2.391,1,141.473517
P-398,B042,5.210875,1.848,3,256.003547
P-399,B042,4.697506,2.249,5,101.216514
P-400,B042,4.455644,1.938,1,139.471988
P-401,B042,5.13912,2.186,5,201.782185
P-402,B042,4.245362,2.364,2,347.28526
P-403,B042,4.883216,2.337,4,150.20826
P-404,B042,4.734265,1.826,5,301.028893
P-405,B042,4.705756,1.546,1,143.535191
P-406,B042,4.320279,2.252,5,369.933318
P-407,B042,4.437713,2.325,2,349.954574
P-408,B042,4.758246,1.961,1,144.444336
P-409,B042,5.30315,2.108,5,202.666452
P-410,B042,4.590983,2.325,1,143.560803
P-411,B042,4.704081,1.813,1,145.686516
P-412,B042,4.733743,2.366,4,148.148618
P-413,B042,4.855083,1.729,3,257.282337
P-414,B042,4.662368,1.803,2,349.564031
P-415,B042,5.13526,2.2,5,371.017119
P-416,B042,5.076836,2.103,0,102.506511
P-417,B042,4.579515,1.655,2,350.046535
P-418,B042,4.97414,1.966,0,102.199043
P-419,B042,4.513662,1.528,2,346.075583
P-420,B042,4.220519,1.957,1,137.695089
