sample_id,batch_id,mn_g_mol,mw_g_mol,pdi
P-146,B041,147520.9,239133.4,1.621
P-147,B041,36649.1,55462.7,1.513
P-148,B041,272309.9,613337.2,2.252
P-149,B041,63012.4,138324.4,2.195
P-150,B041,21782.4,49109.2,2.255
P-151,B041,79766.3,181041.0,2.27
P-152,B041,99353.7,228879.7,2.304
P-153,B041,71325.8,156213.6,2.19
P-154,B041,144285.6,318802.4,2.21
P-155,B041,114815.1,217085.9,1.891
P-156,B041,45455.2,73804.4,1.624
P-157,B041,131033.8,200093.2,1.527
P-158,B041,124660.5,198322.0,1.591
P-159,B041,84826.0,140790.5,1.66
P-160,B041,72443.2,126514.9,1.746
P-161,B041,52934.7,80973.0,1.53
P-162,B041,19025.7,38008.5,1.998
P-163,B041,178882.5,375800.7,2.101
P-164,B041,58602.8,131602.1,2.246
P-165,B041,133334.5,252360.3,1.893
P-166,B041,60416.2,91748.3,1.519
P-167,B041,25867.7,60382.1,2.334
P-168,B041,14445.2,22347.4,1.547
P-169,B041,84735.0,157731.1,1.861
P-170,B041,104114.5,172762.9,1.659
P-171,B041,42379.9,73852.2,1.743
P-172,B041,91257.8,143389.3,1.571
P-173,B041,29959.8,47101.1,1.572
P-174,B041,100197.9,222377.2,2.219
P-175,B041,54894.0,121505.9,2.213
P-176,B041,69304.5,118731.6,1.713
P-177,B041,159175.3,348069.0,2.187
P-178,B041,82990.0,183099.5,2.206
P-179,B041,50865.3,121495.7,2.389
P-180,B041,56408.2,113090.7,2.005
P-181,B042,21251.7,35532.3,1.672
P-182,B042,291003.5,593962.9,2.041
P-183,B042,41516.7,85120.0,2.05
P-184,B042,54820.6,83117.7,1.516
P-185,B042,46151.4,92928.3,2.014
P-186,B042,20758.0,47495.2,2.288
P-187,B042,195401.9,368359.0,1.885
P-188,B042,115509.9,240127.3,2.079
P-189,B042,82772.4,188307.1,2.275
P-190,B042,34733.1,58061.1,1.672
P-191,B042,31670.7,69130.5,2.183
P-192,B042,114255.6,246221.7,2.155
P-193,B042,97140.7,222573.5,2.291
P-194,B042,161274.7,263441.7,1.633
P-195,B042,124654.1,281350.3,2.257
P-196,B042,79606.4,145655.5,1.83
P-197,B042,175901.1,394047.9,2.24
P-198,B042,31254.7,72547.0,2.321
P-199,B042,69850.1,127600.1,1.827
P-200,B042,102494.8,188713.9,1.841
P-201,B042,32864.5,58421.1,1.778
P-202,B042,167182.2,389955.8,2.333
P-203,B042,299514.1,674352.6,2.251
P-204,B042,85384.6,167821.3,1.965
P-205,B042,127147.5,282340.0,2.221
P-206,B042,27051.7,42839.5,1.584
P-207,B042,39265.1,93034.5,2.369
P-208,B042,185094.3,432847.3,2.339
P-209,B042,42903.6,64452.0,1.502
P-210,B042,43091.2,99330.8,2.305
P-211,B042,50772.2,100525.4,1.98
P-212,B042,127867.9,229610.2,1.796
P-213,B042,42296.9,94651.7,2.238
P-214,B042,49052.5,92894.9,1.894
P-215,B042,160158.0,273894.3,1.71
P-216,B042,212996.2,363200.4,1.705
P-217,B042,87171.8,143595.7,1.647
P-218,B042,76859.7,173019.9,2.251
P-219,B042,153111.2,302585.6,1.976
P-220,B042,109704.3,170835.9,1.557
P-221,B042,79646.8,157786.4,1.981
P-222,B042,25800.4,56271.2,2.181
P-223,B042,141241.6,229700.3,1.626
P-224,B042,40040.6,90415.7,2.258
P-225,B042,44422.0,86193.0,1.94
P-226,B042,88699.7,210551.9,2.374
P-227,B042,30950.8,46585.6,1.505
P-228,B042,92024.0,157529.5,1.712
P-229,B042,141773.8,226102.0,1.595
P-230,B042,136943.2,314986.5,2.3
P-231,B042,48164.6,84597.4,1.756
P-232,B042,123721.3,212744.3,1.72
P-233,B042,27287.2,52829.5,1.936
P-234,B042,64956.0,124920.2,1.923
P-235,B042,124609.7,268908.4,2.158
P-236,B042,41444.9,66614.0,1.607
P-237,B042,168781.5,328563.2,1.947
P-238,B042,12651.0,20947.0,1.656
P-239,B042,85262.7,173670.3,2.037
P-240,B042,188359.1,340874.8,1.81
P-241,B042,118046.5,275526.9,2.334
P-242,B042,115139.7,261833.2,2.274
P-243,B042,30234.8,68262.8,2.258
P-244,B042,102613.4,158392.0,1.544
P-245,B042,67392.7,107850.1,1.6
P-246,B042,69902.6,153650.0,2.198
P-247,B042,68562.3,147109.2,2.146
P-248,B042,94238.6,178411.9,1.893
P-249,B042,111239.4,208275.3,1.872
P-250,B042,20996.7,45468.9,2.166
P-251,B042,158714.0,273916.4,1.726
P-252,B042,79647.7,137010.5,1.72
P-253,B042,134431.0,214820.2,1.598
P-254,B042,123241.5,225211.9,1.827
P-255,B042,23208.3,52942.5,2.281
P-256,B042,49534.2,117299.7,2.368
P-257,B042,42728.2,70423.6,1.648
P-258,B042,187083.1,405807.8,2.169
P-259,B042,39841.4,92202.8,2.314
P-260,B042,36670.9,60915.7,1.661
P-261,B042,100790.2,191699.5,1.902
P-262,B042,42771.3,85311.9,1.995
P-263,B042,35669.9,71878.5,2.015
P-264,B042,125064.0,253434.5,2.026
P-265,B042,31878.1,68081.4,2.136
P-266,B042,107765.3,199708.1,1.853
P-267,B042,70877.5,139990.3,1.975
P-268,B042,259617.1,621963.2,2.396
P-269,B042,42759.2,65503.4,1.532
P-270,B042,140808.0,289449.2,2.056
P-271,B042,42630.6,83904.2,1.968
P-272,B042,134011.7,243306.7,1.816
P-273,B042,291487.3,597867.2,2.051
P-274,B042,83977.3,195377.0,2.327
P-275,B042,34360.2,61778.2,1.798
P-276,B042,228598.5,353491.4,1.546
P-277,B042,142781.0,331732.7,2.323
P-278,B042,55014.1,85245.8,1.55
P-279,B042,46600.0,83204.9,1.786
P-280,B042,23405.9,38172.4,1.631
P-281,B042,113910.8,197981.7,1.738
P-282,B042,102516.2,204211.5,1.992
P-283,B042,135814.9,214559.7,1.58
P-284,B042,124218.6,280577.8,2.259
P-285,B042,39020.7,69671.3,1.785
P-286,B042,268213.1,454724.7,1.695
P-287,B042,235052.9,415434.9,1.767
P-288,B042,44311.4,84848.3,1.915
P-289,B042,45800.8,75176.7,1.641
P-290,B042,68702.6,107374.8,1.563
P-291,B042,89947.8,137123.2,1.524
P-292,B042,240585.9,468757.0,1.948
P-293,B042,90652.3,157811.6,1.741
P-294,B042,164206.9,318887.8,1.942
P-295,B042,174036.0,304647.5,1.75
P-296,B042,242897.2,455664.4,1.876
P-297,B042,49929.7,78266.9,1.568
P-298,B042,70814.5,145691.2,2.057
P-299,B042,34505.5,69860.8,2.025
P-300,B042,165542.2,389616.3,2.354
P-301,B042,91851.2,208490.6,2.27
P-302,B042,32222.1,70880.0,2.2
P-303,B042,37667.7,88931.1,2.361
P-304,B042,230563.0,357637.0,1.551
P-305,B042,38400.0,77023.5,2.006
P-306,B042,25293.8,50134.5,1.982
P-307,B042,153648.3,245651.0,1.599
P-308,B042,52939.1,89940.5,1.699
P-309,B042,109417.7,169894.6,1.553
P-310,B042,74169.6,171765.4,2.316
P-311,B042,34383.1,70255.3,2.043
P-312,B042,41024.0,66210.7,1.614
P-313,B042,109385.2,237455.4,2.171
P-314,B042,69142.7,136344.4,1.972
P-315,B042,110874.7,220287.9,1.987
P-316,B042,100647.2,202619.4,2.013
P-317,B042,109857.1,246501.2,2.244
P-318,B042,75185.1,147571.7,1.963
P-319,B042,34553.3,68088.1,1.971
P-320,B042,59629.1,135175.5,2.267
P-321,B042,71896.0,152187.6,2.117
P-322,B042,39003.4,87855.0,2.252
P-323,B042,142341.1,219381.0,1.541
P-324,B042,60858.1,136136.7,2.237
P-325,B042,15703.8,30352.7,1.933
P-326,B042,20926.3,42777.7,2.044
P-327,B042,46624.1,97391.8,2.089
P-328,B042,49768.6,112277.0,2.256
P-329,B042,63153.6,136899.4,2.168
P-330,B042,69489.8,111513.7,1.605
P-331,B042,58947.6,112051.3,1.901
P-332,B042,178263.9,392464.1,2.202
P-333,B042,146772.7,347977.7,2.371
P-334,B042,89451.6,136276.7,1.523
P-335,B042,125634.3,213506.4,1.699
P-336,B042,96318.0,173756.5,1.804
P-337,B042,16053.6,24575.3,1.531
P-338,B042,47768.9,109721.9,2.297
P-339,B042,63115.9,135260.2,2.143
P-340,B042,38798.3,60079.3,1.549
P-341,B042,90409.9,139550.0,1.544
P-342,B042,94198.8,196486.4,2.086
P-343,B042,15562.5,29159.8,1.874
P-344,B042,93147.9,181989.5,1.954
P-345,B042,69094.1,146606.8,2.122
P-346,B042,106440.9,160702.5,1.51
P-347,B042,213406.0,485266.4,2.274
P-348,B042,198299.5,464598.7,2.343
P-349,B042,21838.8,35109.0,1.608
P-350,B042,10693.7,22777.7,2.13
P-351,B042,12202.8,22531.7,1.846
P-352,B042,92698.7,165001.8,1.78
P-353,B042,57625.3,117272.2,2.035
P-354,B042,109106.5,238014.3,2.181
P-355,B042,77092.3,133284.2,1.729
P-356,B042,86964.2,206446.5,2.374
P-357,B042,54478.1,120545.0,2.213
P-358,B042,274608.3,550035.2,2.003
P-359,B042,33610.2,76867.2,2.287
P-360,B042,54928.3,112260.7,2.044
P-361,B042,58328.4,109493.6,1.877
P-362,B042,152589.3,310825.7,2.037
P-363,B042,78944.4,181228.9,2.296
P-364,B042,35673.9,63093.8,1.769
P-365,B042,153659.3,297137.2,1.934
P-366,B042,118672.1,230576.5,1.943
P-367,B042,33025.1,66204.9,2.005
P-368,B042,63623.0,105332.3,1.656
P-369,B042,30108.9,64962.0,2.158
P-370,B042,120199.3,214360.1,1.783
P-371,B042,71938.3,163297.0,2.27
P-372,B042,23524.4,52855.5,2.247
P-373,B042,61449.8,139841.4,2.276
P-374,B042,65885.9,147868.0,2.244
P-375,B042,53451.8,107770.9,2.016
P-376,B042,172991.9,292953.5,1.693
P-377,B042,24504.2,56968.2,2.325
P-378,B042,78997.1,161112.5,2.039
P-379,B042,59144.0,104751.5,1.771
P-380,B042,126713.1,233847.8,1.845
P-381,B042,118244.2,189906.6,1.606
P-382,B042,185253.9,298808.0,1.613
P-383,B042,39282.3,90212.7,2.297
P-384,B042,178438.7,329202.8,1.845
P-385,B042,53992.1,122303.7,2.265
P-386,B042,24214.8,41041.6,1.695
P-387,B042,85089.3,154625.7,1.817
P-388,B042,56674.6,88537.1,1.562
P-389,B042,35254.5,62171.1,1.763
P-390,B042,142933.6,283558.5,1.984
P-391,B042,202326.0,393538.3,1.945
P-392,B042,59924.5,135491.6,2.261
P-393,B042,113591.2,266761.3,2.348
P-394,B042,59500.6,94276.0,1.584
P-395,B042,49181.6,99423.7,2.022
P-396,B042,98797.6,215683.2,2.183
P-397,B042,55837.7,133491.9,2.391
P-398,B042,162508.0,300333.8,1.848
P-399,B042,49831.7,112073.5,2.249
P-400,B042,28552.5,55330.7,1.938
P-401,B042,137758.9,301184.3,2.186
P-402,B042,17593.9,41600.5,2.364
P-403,B042,76421.5,178611.5,2.337
P-404,B042,54233.2,99042.8,1.826
P-405,B042,50787.4,78535.8,1.546
P-406,B042,20906.4,47082.0,2.252
P-407,B042,27397.6,63704.8,2.325
P-408,B042,57312.1,112372.6,1.961
P-409,B042,200978.6,423630.2,2.108
P-410,B042,38992.7,90669.7,2.325
P-411,B042,50591.9,91743.1,1.813
P-412,B042,54168.0,128172.3,2.366
P-413,B042,71628.0,123852.0,1.729
P-414,B042,45958.7,82845.0,1.803
P-415,B042,136540.1,300446.3,2.2
P-416,B042,119353.8,251015.5,2.103
P-417,B042,37976.5,62839.5,1.655
P-418,B042,94219.3,185206.3,1.966
P-419,B042,32633.4,49875.1,1.528
P-420,B042,16615.7,32512.6,1.957
